id,compound_word,word1,word2,sandhi_type,rule_id
670,शेषे लृडयदौ,शेषे,लृट्,consonant,33151.0
671,उताप्योः समर्थयोर्लिङ्,उताप्योः,समर्थयोः,visarga,33152.0
672,कामप्रवेदनेऽकच्चिति,कामप्रवेदने,अकच्चिति,vowel,33153.0
673,सम्भवानेऽलमिति चेत्‌ सिद्धाप्रयोगे,सम्भवाने,अलम्,consonant,33154.0
674,विभाषा धातौ सम्भावनवचनेऽयदि,विभाषा,धातौ,consonant,33155.0
675,हेतुहेतुमतोर्लिङ्,हेतुहेतुमतोः,लिङ्,visarga,33156.0
676,इच्छार्थेभ्यो विभाषा वर्तमाने,इच्छार्थेभ्यो,विभाषा,consonant,33160.0
677,विधिनिमन्‍त्रणामन्‍त्रणाधीष्‍टसंप्रश्‍नप्रार्थनेषु लिङ्,विधिनिमन्त्रणामन्त्रणाधीष्टसम्प्रश्नप्रार्थनेषु,लिङ्,consonant,33161.0
678,प्रैषातिसर्गप्राप्तकालेषु कृत्याश्च,प्रैषातिसर्गप्राप्तकालेषु,कृत्याः,consonant,33163.0
679,लिङ् चोर्ध्वमौहूर्तिके,लिङ्,च,consonant,33164.0
680,अर्हे कृत्यतृचश्च,अर्हे,कृत्यतृचः,consonant,33169.0
681,आवश्यकाधमर्ण्ययोर्णिनिः,आवश्यकाधमर्ण्ययोः,णिनिः,visarga,33170.0
682,कृत्याश्च,कृत्याः,च,visarga,33171.0
683,क्रियासमभिहारे लोट्; लोटो हिस्वौ; वा च तध्वमोः,क्रियासमभिहारे,लोट्,consonant,34002.0
684,समुच्चयेऽन्यतरस्याम्,समुच्चये,अन्यतरस्याम्,vowel,34003.0
685,यथाविध्यनुप्रयोगः पूर्वस्मिन्,यथाविधि,अनुप्रयोगः,consonant,34004.0
686,उपसंवादाशङ्कयोश्च,उपसंवादाशङ्कयोः,च,visarga,34008.0
687,तुमर्थे सेसेनसेअसेन्क्सेकसेनध्यैअध्यैन्कध्यैकध्यैन्शध्यैशध्यैन्तवैतवेङ्तवेनः,तुमर्थे,सेसेनसेसेन्क्सेकसेनध्यैध्यैन्कध्यैकध्यैन्शध्यैशध्यैन्तवैतवेङ्तवेनः,consonant,34009.0
688,भावलक्षणे स्थेण्कृञ्वदिचरिहुतमिजनिभ्यस्तोसुन्,भावलक्षणे,स्थेण्कृञ्वदिचरिहुतमिजनिभ्यः,consonant,34016.0
689,अलङ्खल्वोः प्रतिषेधयोः प्राचां क्त्वा,अलङ्खल्वोः,प्रतिषेधयोः,consonant,34018.0
690,उदीचां माङो व्यतीहारे,उदीचाम्,माङः,consonant,34019.0
691,समानकर्तृकयोः पूर्वकाले,समानकर्त्तृकयोः,पूर्वकाले,visarga,34021.0
692,न यद्यनाकाङ्क्षे,न,यदि,consonant,34023.0
693,विभाषाऽग्रेप्रथमपूर्वेषु,विभाषा,अग्रेप्रथमपूर्वेषु,vowel,34024.0
694,कर्मण्याक्रोशे कृञः खमुञ्,कर्मणि,आक्रोशे,consonant,34025.0
695,अन्यथैवंकथमित्थंसु सिद्धाप्रयोगश्चेत्‌,अन्यथैवंकथमित्थंसु,सिद्धाप्रयोगः,consonant,34027.0
696,यथातथयोरसूयाप्रतिवचने,यथातथयोः,असूयाप्रतिवचने,visarga,34028.0
697,वर्षप्रमाण ऊलोपश्चास्यान्यतरस्याम्,वर्षप्रमाणे,ऊलोपः,consonant,34032.0
698,कर्त्रोर्जीवपुरुषयोर्नशिवहोः,कर्त्रोः,जीवपुरुषयोः,visarga,34043.0
699,कषादिषु यथाविध्यनुप्रयोगः,कषादिषु,यथाविधि,consonant,34046.0
700,उपदंशस्तृतीयायाम्,उपदंशः,तृतीयायाम्,visarga,34047.0
701,हिंसार्थानां च समानकर्मकाणाम्,हिंसार्थानाम्,च,consonant,34048.0
702,सप्तम्यां चोपपीडरुधकर्षः,सप्तम्याम्,च,consonant,34049.0
703,द्वितीयायां च,द्वितीयायाम्,च,consonant,34053.0
704,स्वाङ्गेऽध्रुवे,स्वाङ्गे,अध्रुवे,vowel,34054.0
705,विशिपतिपदिस्कन्दां व्याप्यमानासेव्यमानयोः,विशिपतिपदिस्कन्दाम्,व्याप्यमानासेव्यमानयोः,consonant,34056.0
706,नाम्न्यादिशिग्रहोः,नाम्नि,आदिशिग्रहोः,vowel,34058.0
707,अव्ययेऽयथाभिप्रेताख्याने कृञः क्त्वाणमुलौ,अव्यये,अयथाभिप्रेताख्याने,consonant,34059.0
708,तिर्यच्यपवर्गे,तिर्यचि,अपवर्गे,vowel,34060.0
709,अन्वच्यानुलोम्ये,अन्वचि,आनुलोम्ये,vowel,34064.0
710,'शकधृषज्ञाग्लाघटरभलभक्रमसहार्हास्त्यर्थेषु तुमुन्,शकधृषज्ञाग्लाघटरभलभक्रमसहार्हास्त्यर्थेषु,तुमुन्,consonant,34065.0
711,पर्याप्तिवचनेष्वलमर्थेषु,पर्याप्तिवचनेषु,अलमर्थेषु,vowel,34066.0
712,कर्तरि कृत्‌,कर्त्तरि,कृत्,consonant,34067.0
713,भव्यगेयप्रवचनीयोपस्थानीयजन्याप्लाव्यापात्या वा,भव्यगेयप्रवचनीयोपस्थानीयजन्याप्लाव्यापात्याः,वा,visarga,34068.0
714,लः कर्मणि च भावे चाकर्मकेभ्यः.,लः,कर्मणि,consonant,34069.0
715,तयोरेव कृत्यक्तखलर्थाः,तयोः,एव,consonant,34070.0
716,अदिकर्मणि क्तः कर्तरि च,आदिकर्मणि,क्तः,consonant,34071.0
717,गत्यर्थाकर्मकश्लिषशीङ्स्थाऽऽसवसजनरुहजीर्यतिभ्यश्च,गत्यर्थाकर्मकश्लिषशीङ्स्थाऽऽसवसजनरुहजीर्यतिभ्यः,च,visarga,34072.0
718,भीमादयोऽपादाने,भीमादयः,अपादाने,visarga,34074.0
719,ताभ्यामन्यत्रोणादयः,ताभ्याम्,अन्यत्र,consonant,34075.0
720,क्तोऽधिकरणे च ध्रौव्यगतिप्रत्यवसानार्थेभ्यः,क्तः,अधिकरणे,consonant,34076.0
721,टित आत्मनेपदानां टेरे,टितः,आत्मनेपदानाम्,consonant,34079.0
722,थासस्से,थासः,से,visarga,34080.0
723,लिटस्तझयोरेशिरेच्,लिटः,तझयोः,visarga,34081.0
724,परस्मैपदानां णलतुसुस्थलथुसणल्वमाः,परस्मैपदानाम्,णलतुसुस्थलथुसणल्वमाः,consonant,34082.0
725,विदो लटो वा,विदः,लटः,visarga,34083.0
726,ब्रुवः पञ्चानामादित आहो ब्रुवः,ब्रुवः,पञ्चानाम्,consonant,34084.0
727,लोटो लङ्वत्‌,लोटः,लङ्वत्,visarga,34085.0
728,एरुः,एः,उः,visarga,34086.0
729,सेर्ह्यपिच्च,सेः,हि,consonant,34087.0
730,मेर्निः,मेः,निः,visarga,34089.0
731,आमेतः,आम्,एतः,consonant,34090.0
732,सवाभ्यां वामौ,सवाभ्याम्,वामौ,consonant,34091.0
733,आडुत्तमस्य पिच्च,आट्,उत्तमस्य,consonant,34092.0
734,एत ऐ,एतः,ऐ,visarga,34093.0
735,लेटोऽडाटौ,लेटः,अडाटौ,visarga,34094.0
736,आत ऐ,आतः,ऐ,visarga,34095.0
737,वैतोऽन्यत्र,वा,एतः,consonant,34096.0
738,इतश्च लोपः परस्मैपदेषु,इतः,च,consonant,34097.0
739,स उत्तमस्य,सः,उत्तमस्य,visarga,34098.0
740,नित्यं ङितः,नित्यम्,ङितः,consonant,34099.0
741,इतश्च,इतः,च,visarga,34100.0
742,तस्थस्थमिपां तांतंतामः,तस्थस्थमिपाम्,तांतंतामः,consonant,34101.0
743,लिङस्सीयुट्,लिङः,सीयुट्,visarga,34102.0
744,यासुट् परस्मैपदेषूदात्तो ङिच्च,यासुट्,परस्मैपदेषु,consonant,34103.0
745,किदाशिषि,कित्,आशिषि,consonant,34104.0
746,इटोऽत्‌,इटः,अत्,visarga,34106.0
747,झेर्जुस्,झेः,जुस्,visarga,34108.0
748,लङः शाकटायनस्यैव,लङः,शाकटायनस्य,consonant,34111.0
749,द्विषश्च,द्विषः,च,visarga,34112.0
750,आर्द्धधातुकं शेषः,आर्द्धधातुकम्,शेषः,consonant,34114.0
751,लिङाशिषि,लिङ्,आशिषि,consonant,34116.0
752,छन्दस्युभयथा,छन्दसि,उभयथा,vowel,34117.0
753,अजाद्यतष्टाप्‌,अजाद्यतः,टाप्,visarga,41004.0
754,ऋन्नेभ्यो ङीप्‌,ऋन्नेभ्यः,ङीप्,visarga,41005.0
755,उगितश्च,उगितः,च,visarga,41006.0
756,वनो र च,वनः,र,consonant,41007.0
757,पादोऽन्यतरस्याम्,पादः,अन्यतरस्याम्,visarga,41008.0
758,टाबृचि,टप्,ऋचि,consonant,41009.0
759,न षट्स्वस्रादिभ्यः,न,षट्‍स्वस्रादिभ्यः,consonant,41010.0
760,अनो बहुव्रीहेः,अनः,बहुव्रीहेः,visarga,41012.0
761,डाबुभाभ्यामन्यतरस्याम्‌,डप्,उभाभ्याम्,consonant,41013.0
762,यञश्च,यञः,च,visarga,41016.0
763,प्राचां ष्फ तद्धितः,प्राचाम्,ष्फः,consonant,41017.0
764,कौरव्यमाण्डूकाभ्यां च,कौरव्यमाण्डूकाभ्याम्,च,consonant,41019.0
765,अपरिमाणबिस्ताचितकम्बल्येभ्यो न तद्धितलुकि,अपरिमाणबिस्ताचितकम्बल्येभ्यः,न,consonant,41022.0
766,काण्डान्तात्‌ क्षेत्रे,काण्डान्तात्,क्षेत्रे,consonant,41023.0
767,पुरुषात्‌ प्रमाणेऽन्यतरस्याम्,पुरुषात्,प्रमाणे,consonant,41024.0
768,बहुव्रीहेरूधसो ङीष्।,बहुव्रीहेः,ऊधसः,visarga,41025.0
769,संख्याऽव्ययादेर्ङीप्‌,संख्याऽव्ययादेः,ङीप्,visarga,41026.0
770,दामहायनान्ताच्च,दामहायनान्तात्,च,consonant,41027.0
771,अन उपधालोपिनोन्यतरस्याम्,अनः,उपधालोपिनः,visarga,41028.0
772,नित्यं संज्ञाछन्दसोः,नित्यम्,संज्ञाछन्दसोः,consonant,41029.0
773,केवलमामकभागधेयपापापरसमानार्यकृत-सुमङ्गलभेषजाच्च,केवलमामकभागधेयपापापरसमानार्यकृतसुमङ्गलभेषजात्,च,consonant,41030.0
774,रात्रेश्चाजसौ,रात्रेः,च,consonant,41031.0
775,अन्तर्वत्पतिवतोर्नुक्,अन्तर्वत्पतिवतोः,नुक्,visarga,41032.0
776,पत्युर्नो यज्ञसंयोगे,पत्युः,नः,visarga,41033.0
777,नित्यं सपत्न्य्आदिषु,नित्यम्,सपत्न्यादिषु,consonant,41035.0
778,पूतक्रतोरै च,पूतक्रतोः,ऐ,consonant,41036.0
779,वृषाकप्यग्निकुसितकुसीदानामुदात्तः,वृषाकप्यग्निकुसितकुसीदानाम्,उदात्तः,consonant,41037.0
780,मनोरौ वा,मनोः,औ,consonant,41038.0
781,वर्णादनुदात्तात्तोपधात्तो नः,वर्णात्,अनुदात्तात्,consonant,41039.0
782,अन्यतो ङीष्।,अन्यतः,ङीष्,visarga,41040.0
783,षिद्गौरादिभ्यश्च,षिद्गौरादिभ्यः,च,visarga,41041.0
784,जानपदकुण्डगोणस्थलभाजनागकालनीलकुशकामुककबराद्वृत्त्यमत्रावपनाकृत्रिमाश्राणास्थौल्यवर्णानाच्छादनायोविकारमैथुनेच्छाकेशवेशेषु,जानपदकुण्डगोणस्थलभाजनागकालनीलकुशकामुककबरात्,वृत्त्यमत्रावपनाकृत्रिमाश्राणास्थौल्यवर्णानाच्छादनायोविकारमैथुनेच्छाकेशवेशेषु,consonant,41042.0
785,शोणात्‌ प्राचाम्,शोणात्,प्राचाम्,consonant,41043.0
786,वोतो गुणवचनात्‌,वा,उतः,consonant,41044.0
787,बह्वादिभ्यश्च,बह्वादिभ्यः,च,visarga,41045.0
788,नित्यं छन्दसि,नित्यम्,छन्दसि,consonant,41046.0
789,भुवश्च,भुवः,च,visarga,41047.0
790,पुंयोगादाख्यायाम्,पुंयोगात्,आख्यायाम्,consonant,41048.0
791,इन्द्रवरुणभवशर्वरुद्रमृडहिमारण्ययवयवनमातुलाचार्याणामानुक्,इन्द्रवरुणभवशर्वरुद्रमृडहिमारण्ययवयवनमातुलाचार्याणाम्,आनुक्,consonant,41049.0
792,क्रीतात्‌ करणपूर्वात्‌,क्रीतात्,करणपूर्वात्,consonant,41050.0
793,क्तादल्पाख्यायाम्,क्तात्,अल्पाख्यायाम्,consonant,41051.0
794,बहुव्रीहेश्चान्तोदात्तात्‌,बहुव्रीहेः,च,consonant,41052.0
795,अस्वाङ्गपूर्वपदाद्वा,अस्वाङ्गपूर्वपदात्,वा,consonant,41053.0
796,स्वाङ्गाच्चोपसर्जनादसंयोगोपधात्‌,स्वाङ्गात्,च,consonant,41054.0
797,नासिकोदरौष्ठजङ्घादन्तकर्णशृङ्गाच्च,नासिकोदरौष्ठजङ्‍घादन्तकर्णशृङ्गात्,च,consonant,41055.0
798,सहनञ्विद्यमानपूर्वाच्च,सहनञ्‍विद्यमानपूर्वात्,च,consonant,41057.0
799,नखमुखात्‌ संज्ञायाम्,नखमुखात्,संज्ञायाम्,consonant,41058.0
800,दीर्घजिह्वी च च्छन्दसि,दीर्घजिह्वी,च,consonant,41059.0
801,दिक्पूर्वपदान्ङीप्‌,दिक्पूर्वपदात्,ङीप्,consonant,41060.0
802,सख्यशिश्वीति भाषायाम्,सखी,अशिश्वी,consonant,41062.0
803,जातेरस्त्रीविषयादयोपधात्‌,जातेः,अस्त्रीविषयात्,consonant,41063.0
804,पाककर्णपर्णपुष्पफलमूलबालोत्तरपदाच्च,पाककर्णपर्णपुष्पफलमूलवालोत्तरपदात्,च,consonant,41064.0
805,इतो मनुष्यजातेः,इतः,मनुष्यजातेः,visarga,41065.0
806,ऊङुतः,ऊङ्,उतः,consonant,41066.0
807,बाह्वन्तात्‌ संज्ञायाम्,बाह्वन्तात्,संज्ञायाम्,consonant,41067.0
808,पङ्गोश्च,पङ्गोः,च,visarga,41068.0
809,ऊरूत्तरपदादौपम्ये,ऊरूत्तरपदात्,औपम्ये,consonant,41069.0
810,संहितशफलक्षणवामादेश्च,संहितशफलक्षणवामादेः,च,visarga,41070.0
811,कद्रुकमण्डल्वोश्छन्दसि,कद्रुकमण्डल्वोः,छन्दसि,visarga,41071.0
812,शार्ङ्गरवाद्यञो ङीन्,शार्ङ्गरवाद्यञः,ङीन्,visarga,41073.0
813,यङश्चाप्‌,यङः,चाप्,visarga,41074.0
814,आवट्याच्च,आवट्यात्,च,consonant,41075.0
815,यूनस्तिः,यूनः,तिः,visarga,41077.0
816,अणिञोरनार्षयोर्गुरूपोत्तमयोः ष्यङ् गोत्रे,अणिञोः,अनार्षयोः,consonant,41078.0
817,क्रौड्यादिभ्यश्च,क्रौड्यादिभ्यः,च,visarga,41080.0
818,दैवयज्ञिशौचिवृक्षिसात्यमुग्रिकाण्ठेविद्धिभ्योऽन्यतरस्याम्,दैवयज्ञिशौचिवृक्षिसात्यमुग्रिकाण्ठेविद्धिभ्यः,अन्यतरस्याम्,visarga,41081.0
819,समर्थानां प्रथमाद्वा,समर्थानाम्,प्रथमात्,consonant,41082.0
820,प्राग्दीव्यतोऽण्,प्राक्,दीव्यतः,consonant,41083.0
821,अश्वपत्यादिभ्यश्च,अश्वपत्यादिभ्यः,च,visarga,41084.0
822,दित्यदित्यादित्यपत्युत्तरपदाण्ण्यः,दित्यदित्यादित्यपत्युत्तरपदात्,ण्यः,consonant,41085.0
823,उत्सादिभ्योऽञ्,उत्सादिभ्यः,अञ्,visarga,41086.0
824,स्त्रीपुंसाभ्यां नञ्स्नञौ भवनात्‌,स्त्रीपुंसाभ्याम्,नञ्स्नञौ,consonant,41087.0
825,द्विगोर्लुगनपत्ये,द्विगोः,लुक्,consonant,41088.0
826,गोत्रेऽलुगचि,गोत्रे,अलुक्,consonant,41089.0
827,फक्फिञोरन्यतरस्याम्,फक्फिञोः,अन्यतरस्याम्,visarga,41091.0
828,तस्यापत्यम्,तस्य,अपत्यम्,vowel,41092.0
829,एको गोत्रे,एकः,गोत्रे,visarga,41093.0
830,गोत्राद्यून्यस्त्रियाम्,गोत्रात्,यूनि,consonant,41094.0
831,अत इञ्,अतः,इञ्,visarga,41095.0
832,बाह्वादिभ्यश्च,बाह्वादिभ्यः,च,visarga,41096.0
833,सुधातुरकङ् च,सुधातुः,अकङ्,consonant,41097.0
834,गोत्रे कुञ्जादिभ्यश्च्फञ्,गोत्रे,कुञ्जादिभ्यः,consonant,41098.0
835,हरितादिभ्योऽञः,हरितादिभ्यः,अञः,visarga,41100.0
836,यञिञोश्च,यञिञोः,च,visarga,41101.0
837,शरद्वच्छुनकदर्भाद्भृगुवत्साग्रायणेषु,शरद्वच्छुनकदर्भात्,भृगुवत्साग्रायणेषु,consonant,41102.0
838,द्रोणपर्वतजीवन्तादन्यतरयाम्,द्रोणपर्वतजीवन्तात्,अन्यतरयाम्,consonant,41103.0
839,अनृष्यानन्तर्ये बिदादिभ्योऽञ्,अनृषि,आनन्तर्ये,consonant,41104.0
840,गर्गादिभ्यो यञ्,गर्गादिभ्यः,यञ्,visarga,41105.0
841,मधुबभ्र्वोर्ब्राह्मणकौशिकयोः,मधुबभ्र्वोः,ब्राह्मणकौशिकयोः,visarga,41106.0
842,कपिबोधादाङ्गिरसे,कपिबोधात्,आङ्गिरसे,consonant,41107.0
843,वतण्डाच्च,वतण्डात्,च,consonant,41108.0
844,भर्गात्‌ त्रैगर्ते,भर्गात्,त्रैगर्ते,consonant,41111.0
845,शिवादिभ्योऽण्,शिवादिभ्यः,अण्,visarga,41112.0
846,अवृद्धाभ्यो नदीमानुषीभ्यस्तन्नामिकाभ्यः,अवृद्धाभ्यः,नदीमानुषीभ्यः,visarga,41113.0
847,ऋष्यन्धकवृष्णिकुरुभ्यश्च,ऋष्यन्धकवृष्णिकुरुभ्यः,च,visarga,41114.0
848,मातुरुत्‌ संख्यासम्भद्रपूर्वायाः,मातुः,उत्,consonant,41115.0
849,विकर्णशुङ्गच्छगलाद्वत्सभरद्वाजात्रिषु,विकर्णशुङ्गच्छगलात्,वत्सभरद्वाजात्रिषु,consonant,41117.0
850,पीलाया वा,पीलायाः,वा,visarga,41118.0
851,ढक् च मण्डूकात्‌,ढक्,च,consonant,41119.0
852,स्त्रीभ्यो ढक्,स्त्रीभ्यः,ढक्,visarga,41120.0
853,इतश्चानिञः,इतः,च,consonant,41122.0
854,शुभ्रादिभ्यश्च,शुभ्रादिभ्यः,च,visarga,41123.0
855,विकर्णकुषीतकात्‌ काश्यपे,विकर्णकुषीतकात्,काश्यपे,consonant,41124.0
856,भ्रुवो वुक् च,भ्रुवः,वुक्,consonant,41125.0
857,कल्याण्यादीनामिनङ्,कल्याण्यादीनाम्,इनङ्,consonant,41126.0
858,कुलटाया वा,कुलटायाः,वा,visarga,41127.0
859,चटकाया ऐरक्,चटकायाः,ऐरक्,visarga,41128.0
860,गोधाया ढ्रक्,गोधायाः,ढ्रक्,visarga,41129.0
861,आरगुदीचाम्,आरक्,उदीचाम्,consonant,41130.0
862,क्षुद्राभ्यो वा,क्षुद्राभ्यः,वा,visarga,41131.0
863,पितृष्वसुश्छण्,पितृष्वसु,छण्,consonant,41132.0
864,मातृष्वसुश्च,मातृष्वसुः,च,visarga,41134.0
865,चतुष्पाद्भ्यो ढञ्,चतुष्पाद्‍भ्यः,ढञ्,visarga,41135.0
866,गृष्ट्यादिभ्यश्च,गृष्ट्‍यादिभ्यः,च,visarga,41136.0
867,राजश्वशुराद्यत्‌,राजश्वशुरात्,यत्,consonant,41137.0
868,क्षत्राद्घः,क्षत्रात्,घः,consonant,41138.0
869,कुलात्‌ खः,कुलात्,खः,consonant,41139.0
870,अपूर्वपदादन्यतरस्यां यड्ढकञौ,अपूर्वपदात्,अन्यतरस्याम्,consonant,41140.0
871,महाकुलादञ्खञौ,महाकुलात्,अञ्खञौ,consonant,41141.0
872,दुष्कुलाड्ढक्,दुष्कुलात्,ढक्,consonant,41142.0
873,स्वसुश्छः,स्वसुः,छः,visarga,41143.0
874,भ्रातुर्व्यच्च,भ्रातुः,व्यत्,consonant,41144.0
875,रेवत्यादिभ्यष्ठक्,रेवत्यादिभ्यः,ठक्,visarga,41146.0
876,वृद्धाट्ठक् सौवीरेषु बहुलम्,वृद्धात्,ठक्,consonant,41148.0
877,फेश्छ च,फेः,छ,consonant,41149.0
878,फाण्टाहृतिमिमताभ्यां णफिञौ,फाण्टाहृतिमिमताभ्याम्,णफिञौ,consonant,41150.0
879,कुर्वादिभ्यो ण्यः,कुर्वादिभ्यः,ण्यः,visarga,41151.0
880,सेनान्तलक्षणकारिभ्यश्च,सेनान्तलक्षणकारिभ्यः,च,visarga,41152.0
881,उदीचामिञ्,उदीचाम्,इञ्,consonant,41153.0
882,कौसल्यकार्मार्याभ्यां च,कौसल्यकार्मार्याभ्याम्,च,consonant,41155.0
883,अणो द्व्यचः,अणः,द्‍व्यचः,visarga,41156.0
884,उदीचां वृद्धादगोत्रात्‌,उदीचाम्,वृद्धात्,consonant,41157.0
885,वाकिनादीनां कुक् च,वाकिनादीनाम्,कुक्,consonant,41158.0
886,पुत्रान्तादन्यतरस्याम्,पुत्रान्तात्,अन्यतरस्याम्,consonant,41159.0
887,प्राचामवृद्धात्‌ फिन् बहुलम्‌,प्राचाम्,अवृद्धात्,consonant,41160.0
888,मनोर्जातावञ्यतौ षुक् च,मनोः,जातौ,consonant,41161.0
889,अपत्यं पौत्रप्रभृति गोत्रम्‌,अपत्यम्,पौत्रप्रभृति,consonant,41162.0
890,वाऽन्यस्मिन् सपिण्डे स्थविरतरे जीवति,वा,अन्यस्मिन्,consonant,41165.0
891,यूनश्च कुत्सायाम्,यूनः,च,consonant,41167.0
892,जनपदशब्दात्‌ क्षत्रियादञ्,जनपदशब्दात्,क्षत्रियात्,consonant,41168.0
893,साल्वेयगान्धारिभ्यां च,साल्वेयगान्धारिभ्याम्,च,consonant,41169.0
894,द्व्यञ्मगधकलिङ्गसूरमसादण्,द्‍व्यञ्मगधकलिङ्गसूरमसाद्,अण्,consonant,41170.0
895,वृद्धेत्कोसलाजादाञ्ञ्यङ्,वृद्धेत्कोसलाजादात्,ञ्यङ्,consonant,41171.0
896,कुरुणादिभ्यो ण्यः,कुरुणादिभ्यः,ण्यः,visarga,41172.0
897,साल्वावयवप्रत्यग्रथकलकूटाश्मकादिञ्,साल्वावयवप्रत्यग्रथकलकूटाश्मकात्,इञ्,consonant,41173.0
898,कम्बोजाल्लुक्,कम्बोजात्,लुक्,consonant,41175.0
899,स्त्रियामवन्तिकुन्तिकुरुभ्यश्च,स्त्रियाम्,अवन्तिकुन्तिकुरुभ्यः,consonant,41176.0
900,अतश्च,अतः,च,visarga,41177.0
901,तेन रक्तं रागात्‌,तेन,रक्तम्,consonant,42001.0
902,लाक्षारोचना(शकलकर्दमा)ट्ठक्,लाक्षारोचनात्,(शकलकर्दमात्),consonant,42002.0
903,लुबविशेषे,लुप्,अविशेषे,consonant,42004.0
904,संज्ञायां श्रवणाश्वत्थाभ्याम्‌,संज्ञायाम्,श्रवणाश्वत्थाभ्याम्,consonant,42005.0
905,द्वंद्वाच्छः,द्वन्द्वात्,छः,consonant,42006.0
906,दृष्ट्अं साम,दृष्टम्,साम,consonant,42007.0
907,वामदेवाड्ड्यड्ड्यौ,वामदेवात्,ड्यड्ड्यौ,consonant,42009.0
908,परिवृतो रथः,परिवृतः,रथः,visarga,42010.0
909,पाण्डुकम्बलादिनिः,पाण्डुकम्बलात्,इनिः,consonant,42011.0
910,द्वैपवैयाघ्रादञ्,द्वैपवैयाघ्रात्,अञ्,consonant,42012.0
911,कौमारापूर्ववचने,कौमार,अपूर्ववचने,vowel,42013.0
912,तत्रोद्धृतममत्रेभ्यः,तत्र,उद्धृतम्,consonant,42014.0
913,स्थण्डिलाच्छयितरि व्रते,स्थण्डिलात्,शयितरि,consonant,42015.0
914,संस्कृतं भक्षाः,संस्कृतम्,भक्षाः,consonant,42016.0
915,शूलोखाद्यत्‌,शूलोखात्,यत्,consonant,42017.0
916,दध्नष्ठक्,दध्नः,ठक्,visarga,42018.0
917,उदश्वितोऽन्यतरस्याम्,उदश्वितः,अन्यतरस्याम्,visarga,42019.0
918,क्षीराड्ढञ्,क्षीरात्,ढञ्,consonant,42020.0
919,साऽस्मिन् पौर्णमासीति (संज्ञायाम्),सा,अस्मिन्,consonant,42021.0
920,आग्रहायण्यश्वत्थाट्ठक्,आग्रहायण्यश्वत्थात्,ठक्,consonant,42022.0
921,साऽस्य देवता,सा,अस्य,consonant,42024.0
922,कस्येत्‌,कस्य,इत्,vowel,42025.0
923,शुक्राद्घन्,शुक्रात्,घन्,consonant,42026.0
924,अपोनप्त्रपान्नप्तृभ्यां घः,अपोनप्त्रपान्नप्तृभ्याम्,घः,consonant,42027.0
925,महेन्द्राद्घाणौ च,महेन्द्रात्,घाणौ,consonant,42029.0
926,सोमाट्ट्यण्,सोमात्,ट्यण्,consonant,42030.0
927,वाय्वृतुपित्रुषसो यत्‌,वाय्वृतुपित्रुषसः,यत्,visarga,42031.0
928,द्यावापृथिवीशुनासीरमरुत्वदग्नीषोमवास्तोष्पतिगृहमेधाच्छ च,द्यावापृथिवीशुनासीरमरुत्वदग्नीषोमवास्तोष्पतिगृहमेधात्,छ,consonant,42032.0
929,अग्नेर्ढक्,अग्नेः,ढक्,visarga,42033.0
930,कालेभ्यो भववत्‌,कालेभ्यः,भववत्,visarga,42034.0
931,महाराजप्रोष्ठपदाट्ठञ्,महाराजप्रोष्ठपदात्,ठञ्,consonant,42035.0
932,भिक्षाऽऽदिभ्योऽण्,भिक्षाऽऽदिभ्यः,अण्,visarga,42038.0
933,गोत्रोक्षोष्ट्रोरभ्रराजराजन्यराजपुत्रवत्समनुष्याजाद्वुञ्,गोत्रोक्षोष्ट्रोरभ्रराजराजन्यराजपुत्रवत्समनुष्याजात्,वुञ्,consonant,42039.0
934,केदाराद्यञ् च,केदारात्,यञ्,consonant,42040.0
935,ठञ् कवचिनश्च,ठञ्,कवचिनः,consonant,42041.0
936,ब्राह्मणमाणववाडवाद्यन्,ब्राह्मणमाणववाडवात्,यन्,consonant,42042.0
937,अनुदात्तादेरञ्,अनुदात्तादेः,अञ्,visarga,42044.0
938,खण्डिकादिभ्यश्च,खण्डिकादिभ्यः,च,visarga,42045.0
939,चरणेभ्यो धर्मवत्‌,चरणेभ्यः,धर्मवत्,visarga,42046.0
940,अचित्तहस्तिधेनोष्ठक्,अचित्तहस्तिधेनोः,ठक्,visarga,42047.0
941,केशाश्वाभ्यां यञ्छावन्यतरस्याम्,केशाश्वाभ्याम्,यञ्छौ,consonant,42048.0
942,पाशादिभ्यो यः,पाशादिभ्यः,यः,visarga,42049.0
943,इनित्रकट्यचश्च,इनित्रकट्यचः,च,visarga,42051.0
944,विषयो देशे,विषयः,देशे,visarga,42052.0
945,राजन्यादिभ्यो वुञ्,राजन्यादिभ्यः,वुञ्,visarga,42053.0
946,भौरिक्याद्यैषुकार्यादिभ्यो विधल्भक्तलौ,भौरिक्याद्यैषुकार्यादिभ्यः,विधल्भक्तलौ,visarga,42054.0
947,सोऽस्यादिरिति च्छन्दसः प्रगाथेषु,सः,अस्य,consonant,42055.0
948,संग्रामे प्रयोजनयोद्धृभ्यः,सङ्‍ग्रामे,प्रयोजनयोद्धृभ्यः,consonant,42056.0
949,तदस्यां प्रहरणमिति क्रीडायाम् णः,तत्,अस्याम्,consonant,42057.0
950,घञः साऽस्यां क्रियेति ञः,घञः,सा,consonant,42058.0
951,तदधीते तद्वेद,तत्,अधीते,consonant,42059.0
